,Zone,Lower_left,Upper_right,Center,Super_center,Super_center_nr
147,148,"[10.732638, 59.918846]","[10.741372, 59.923383]","[10.737005, 59.921114]","[10.737005, 59.921114]",69.0
148,149,"[10.723904, 59.918846]","[10.732638, 59.923383]","[10.728271, 59.921114]","[10.728271, 59.921114]",70.0
149,150,"[10.71517, 59.918846]","[10.723904, 59.923383]","[10.719537, 59.921114]","[10.71517, 59.923383]",29.0
150,151,"[10.706436, 59.918846]","[10.71517, 59.923383]","[10.710803, 59.921114]","[10.71517, 59.923383]",29.0
151,152,"[10.697702, 59.918846]","[10.706436, 59.923383]","[10.702069, 59.921114]","[10.702069, 59.921114]",71.0
152,153,"[10.688968, 59.918846]","[10.697702, 59.923383]","[10.693335, 59.921114]","[10.688968, 59.923383]",30.0
153,154,"[10.680234, 59.918846]","[10.688968, 59.923383]","[10.684601, 59.921114]","[10.688968, 59.923383]",30.0
154,155,"[10.6715, 59.918846]","[10.680234, 59.923383]","[10.675867, 59.921114]","[10.675867, 59.921114]",72.0
155,156,"[10.662766, 59.918846]","[10.6715, 59.923383]","[10.667133, 59.921114]","[10.662766, 59.918846]",36.0
156,157,"[10.654032, 59.918846]","[10.662766, 59.923383]","[10.658399, 59.921114]","[10.662766, 59.918846]",36.0
157,158,"[10.645298, 59.918846]","[10.654032, 59.923383]","[10.649665, 59.921114]","[10.645298, 59.918846]",37.0
158,159,"[10.636564, 59.918846]","[10.645298, 59.923383]","[10.640931, 59.921114]","[10.645298, 59.918846]",37.0
159,160,"[10.62783, 59.918846]","[10.636564, 59.923383]","[10.632197, 59.921114]","[10.632197, 59.921114]",73.0
160,161,"[10.819979, 59.914309]","[10.828713, 59.918846]","[10.824346, 59.916577]","[10.819979, 59.918846]",31.0
161,162,"[10.811245, 59.914309]","[10.819979, 59.918846]","[10.815612, 59.916577]","[10.819979, 59.918846]",31.0
